ingilizce;Türkçe
"claps
 settlers
 command
gracious
oak
puppet
dangling
windows-sill
beak
falcon
fairy
holding
undo
knot
gently
loosened
sigh
murmured
magnificent
claps
upright
hind
poodle
hitch
carriage
poor
tenderly
cushon
owl
examine
forehead
fever
dissolve
whining
lump
suger lump
bowl
nasty bitter water
bitter";"alkýþlar
  yerleþimciler
  emretmek
zarif
meþe
kukla
sarkan
pencere eþiði
gaga
Þahin
peri
tutma
geri alma
düðüm
nazikçe
gevþemiþ
iç çekmek
mýrýldandý
Muhteþem
alkýþlar
dik
arka
kaniþ
aksama
araba
yoksul
þefkatle
yastýk
baykuþ
incelemek
alýn
ateþ
çözmek
sýzlanan
yumru
þeker yumru
tas
pis acý su
acý"
dangle;sarkmak
ado;ado
pity;acýmak
coffin;tabut
beseeching;yalvaran
wax;balmumu
cottage;kulübe
bath;banyo
pleasent;güzel
ditch;Hendek
assassins;suikastçýlar
coalsacks;kömür çuvallarý
rustling;hýþýrtý
slight;hafif
companion;Arkadaþ
dawn;Þafak
crack;çatýrtý
innkeeper;hancý
"jolly
ants
flatter
slip
frail
shin
marvellous
someresult
puppet
fault
insult
crave
pokes
tongue
deserve
leap
occurs
cause
minor
revolution
chorus
stage
slap
usual
quarrelling
rear
stalls
yell
shouts
invitation
dart
impatient
nail
tails
whip
";"neþeli
karýncalar
daha düz
kayma
zayýf
incik
harika
bazý sonuç
kukla
arýza
hakaret
can atmak
dürtme
dil
hak etmek
sýçramak
meydana gelmek
neden
küçük
devrim
Koro
sahne
tokat
olaðan
kavga
arka
tezgahlar
baðýrmak
baðýrýr
davet
Dart oyunu
sabýrsýz
çivi
kuyruklar
kýrbaç"
"temperature
tournament
beat 
conductor
nominate
Palm 
scan
luggage
weapons
victims
privacy 
protected
quicker 
launch
experts
against 
lazy
scenery
trail
campsite
snorkel
snorkeling 
tour 
reserve ";"sýcaklýk
turnuva
vurmak
orkestra þefi
aday göstermek
avuç içi
tarama
valiz
silahlar
kurbanlar
mahremiyet
korumalý
daha hýzlý
baþlatmak
uzmanlar
karþýsýnda
tembel
manzara
iz
kamp alaný
þnorkel
þnorkelle yüzme
tur
rezerv"
"spread 
gradual 
insurance 
demand 
slap 
strike 
sharply 
pleasant 
entrepreneur
conscience 
confidential 
transitive 
delay
naughty 
doll 
mitten 
inauguration 
meme 
contest 
treat 
conflict 
stranger 
admit 
evidence 

";"yayýlmýþ
kademeli
sigorta
talep etmek
tokat
vuruþ
keskin bir þekilde
güzel
giriþimci
vicdan
gizli
geçiþli
gecikme
yaramaz
oyuncak bebek
eldiven
resmen iþe baþlama
meme
yarýþma
tedavi etmek
fikir ayrýlýðý
yabancý
itiraf etmek
kanýt"
Confidence;Kendinden emin
Absolute;mutlak
hummock;tümsek
further;daha öte
ink;mürekkep
longitude;boylam
latitude;enlem
fancy;süslü
such as a man;erkek gibi
scraps;artýklar
contains;içerir
for a while;bir süre için
villains;kötü adamlar
ale;bira
attentively;dikkatle
nod;baþýný sallamak
proprtion;oran
side of a bright fire;parlak bir ateþin yaný
pipe;boru
I am your mad;ben senin delinim
maid;hizmetçi
sorrow;üzüntü
dont worry that is all;merak etme hepsi bu
coarsely;kabaca
bride and groom;gelin ve damat
bride;gelin
reckoning time;hesap zamaný
negroe;zenci
shell;kabuk
beads;boncuklar
violent;þiddetli
beams;kiriþler
l will look over it this once;bu sefer bakacaðým
stealing;çalmak
stove;soba
chariot;savaþ arabasý
coversaon;kapsama alaný
coversaons;kapaklar
coal-mine;kömür madeni
the only reason why l will not tell you my idea that l am going to do is becasue it mey be wrong ,and dont want to drag you into it;Sana yapacaðým fikrimi söylemememin tek sebebi yanlýþ olmam ve seni içine sürüklemek istememem.
blab;gevezelik
attic;Çatý katý
coal is so dear;kömür çok deðerli
shivering;titreme
nicks;çentikler
mark;iþaret
porter;kapýcý
heap;yýðýn
coal;kömür
heap of coal;kömür yýðýný
no one else did;baþka kimse yapmadý
l m tired of calling robert  by her name;Robert'a adýyla hitap etmekten býktým
rushed;acele
shriek;çýðlýk
unpack;paketini açmak
pie;turta
butter;Tereyaðý
roast beef;dana rosto
cellar;mahzen
they find cellar and on the table;mahzeni ve masanýn üzerinde bulurlar
warm;Ilýk, hafif sýcak
black yawning mounth;siyah esneme aðýz
blackbyawning mounth;siyah esneme aðýz
arrange;düzenlemek
crockery;çanak çömlek
unlock;Kilidini aç
cartman;arabacý
walk;yürümek
shiver;titreme
she wakes them up;onlarý uyandýrýr
settled;yerleþmiþ
pale;solgun
till;kadar
amusing;eðlenceli
she is going abroad to be a governess;o mürebbiye olmak için yurt dýþýna gidiyor
governes;mürebbiye
abroad;yurt dýþýna
earn;para kazanmak
straight;Düz
betray;ihanet etmek
here are some handkerchiefs;iþte birkaç mendil
wallets;cüzdanlar
he takes out many beautiful watches and splendid jewels;çok güzel saatler ve muhteþem mücevherler çýkarýr
handkerchief hanging;mendil asýlý
handkerchief;mendil
beard;sakal
smell;Koklamak
awfull;korkunç
at the inn;handa
asse;göt
eyes;gözler
ears;kulaklar
whats the matter;sorun ne
exhausted;yorgun
gentle words;nazik sözler
weak;zayýf
as the days are passing;günler geçtikçe
penny;kuruþ
road;yol
it is the meat;o et
courageous voice;cesur ses
furious;çok öfkeli
mourner;yas tutan
funerals;cenazeler
lonely;yalnýz
tears;göz yaþlarý
onion;soðan
porridge;yulaf lapasý
bowl of porridge;bir kase yulaf lapasý
orphanage;yetimhane
orphan;yetim
strange;yabancý
don't bother;zahmet etme
She can’t take a joke;Þaka kaldýramaz
"
As soon as possible l will do";en kýsa zamanda yapacaðým
I am out of condition;durumum yok
my battery is dead;pilim öldü
you can trust me;Bana güvenebilirsin
guess what;bil bakalým ne oldu
up to you;size kalmýþ
up;yukarý
It's up to you;O size kalmýþ
çingene;Gypsy
it is beyond me;benim dýþýmda
don't get me wrong;beni yanlýþ anlama
"brake
steering wheel
turn the steering wheel to left
accelerator
outlet
sidewalk
If you're tired of sitting in traffic on your way to work
seat 
offers ";"fren
direksiyon
direksiyon simidini sola çevirin
gaz pedalý
çýkýþ
kaldýrým
Ýþe giderken trafikte oturmaktan yorulduysanýz
oturma yeri
teklifler"
he had a seat assistant in provider with awls ,thread ,wax,and the more solid ,but equally needfull companion , a lapstone;býz, iplik, balmumu ve daha saðlam, ama ayný derecede ihtiyaç duyan bir arkadaþ, bir lapstone ile saðlayýcýda bir koltuk asistaný vardý
gestures;mimik
gallant officer in the revolutionary;devrimci cesur memur
Inspecting;incelenmesi
lad;delikanlý
equally needful;eþit derecede ihtiyaç
countenance;Yüz
apprentice;Çýrak
ihmal;neglect
he had a seat assistant in provided with awls,thread ,wax;býz, iplik, balmumu ile birlikte bir koltuk asistaný vardý
delight;lokum
his master introduce him into the shop;efendisi onu dükkana tanýt
contributed;katkýda bulundu
neglect;ihmal
"reduce
anxiety
disease
examine 
least
actually
as well
long-term
seeks 
lorry
re-engaged
investigated 
regulator";"azaltmak
kaygý
hastalýk
muayene etmek
en az
aslýnda
ayrýca
uzun vadeli
arar
kamyon
yeniden meþgul
araþtýrýlmýþ
regülatör"
"reduce
anxiety
disease
examine 
least
actually
as well
long-term
seeks ";"azaltmak
kaygý
hastalýk
muayene etmek
en az
aslýnda
ayrýca
uzun vadeli
arar"
"fix
issues 
renewable
expansion 
fragile
announced
exciting 
Istanbul’s Top Attractions
neighborhood 
pubs
poets
bosporus
entertainment
sights
seeds
disaster
Tired of busy 
Infrastructure 
ground
sides 
per hour
previous 
According
kilometer
Furthermore
As well as
four 






";"düzeltmek
sorunlar
yenilenebilir
geniþleme
kýrýlgan
ilan edildi
heyecan verici
Ýstanbul'un En Ýyi Gezileri
Komþuluk
barlar
þairler
boðaz
eðlence
manzaralar
tohumlar
felaket
meþgul olmaktan býktým
altyapý
zemin
taraf
saat baþý
önceki
Göre
kilometre
Ayrýca
Hem de
dört"
"makeover
attention
whistle
play date
raise
presale
early 
beeps 
That's, of course, why it's called
baths 
division
mission
satellite
orbit 
unmanned
rescue
recent 





";"makyaj
Dikkat
ýslýk
Oyun tarihi
yükseltmek
ön satýþ
erken
bipler
Bu, elbette, neden denir
banyolar
bölünme
misyon
uydu
yörünge
insansýz
kurtarmak
son"
"reversal
recommend 
critic 
edge 
resentment 
sharp 
literally 
foreigner 
victim 
inverse 
proper
intense 
stick 
sense 
hostile 
Pet





";"tersine çevirme
önermek
eleþtirmen
kenar
kýzgýnlýk
keskin
kelimenin tam anlamýyla
yabancý
kurban
ters
uygun
yoðun
Çubuk
duyu
hasým
Evcil Hayvan"
"reduce
anxiety
disease
examine ";"azaltmak
kaygý
hastalýk
muayene etmek"
"admiration
remark
recognition 
lounging 
pipe-rack
Reach
crumpled
evidently
couch
seedy
worse
disreputable
angle
hung
cracked
Carbuncle
compliments
pile
pipe-rack
lens
forceps
suspended
manner 
";"hayranlýk
söz
tanýma
uzanma
boru rafý
Eriþim
buruþuk
belli ki
kanepe
keyifsiz
daha da kötüsü
saygýsýz
açý
asýlý
çatlak
Karbonkül, þirpençe
iltifatlar
istif
boru rafý
lens
forseps
askýya alýndý
tavýr"
convenient;uygun
naughty;yaramaz
creativity;yaratýcýlýk
frequency;Sýklýk
incompatible;uyumsuz
"Folded 
shipping container
addicted
wiring
renovate
plumbing 
cost
foundation
hinge
backyard
pray
occasionally
accommodation
disaster
";"Katlanmýþ
nakliye konteyneri
baðýmlý
kablolama
yenilemek
sýhhi tesisat
maliyet
Yapý temeli
menteþe
arka bahçe
dua etmek
bazen
Konaklama
felaket"
"fortunately 
strip
 humble 
lonely
rope
attempts
sleeve
perception";"neyse ki
þerit
  mütevazý
yalnýz
Ýp
denemeler
kol
algý"
"concerned 
concerned for their safety
concerned to prove the point
Concerned citizens protested the mayor's proposal.
arre";"endiþeli
güvenlikleri için endiþeli
noktayý kanýtlamak için endiþeli
Endiþeli vatandaþlar belediye baþkanýnýn teklifini protesto etti.
borç"
cherish;beslemek
"heal
probably
blink
raw
lick
treat 
 raw fish
slip
ease
knight
kite
leap
lap
peach
bitch
beach
hesitate
advertisement
specialist
mention 
 shining
 artifact



";"iyileþmek
muhtemelen
goz kirpmak
çið
yalamak
tedavi etmek
  çið balýk
kayma
kolaylaþtýrmak
þövalye
uçurtma
sýçrama
tur
þeftali
orospu
plaj
tereddüt etmek
Ýlan
uzman
Anma
  parlýyor
  artefakt"
"heal
probably
blink
raw
lick
treat 
 raw fish
slip
ease
knight
kite
leap
lap
peach
bitch
beach
hesitate
advertisement



";"iyileþmek
muhtemelen
goz kirpmak
çið
yalamak
tedavi etmek
  çið balýk
kayma
kolaylaþtýrmak
þövalye
uçurtma
sýçrama
tur
þeftali
orospu
plaj
tereddüt etmek
Ýlan"
"heal
probably
blink
raw
lick
treat 
 raw fish
slip
ease
knight
kite
leap
lap
peach
bitch
beach



";"iyileþmek
muhtemelen
goz kirpmak
çið
yalamak
tedavi etmek
  çið balýk
kayma
kolaylaþtýrmak
þövalye
uçurtma
sýçrama
tur
þeftali
orospu
plaj"
"heal
probably
blink
raw
lick
treat 
 raw fish
slip
ease
knight
kite
leap
lap
peach
beach


";"iyileþmek
muhtemelen
goz kirpmak
çið
yalamak
tedavi etmek
  çið balýk
kayma
kolaylaþtýrmak
þövalye
uçurtma
sýçrama
tur
þeftali
plaj"
"proper 
 It is not proper to speak that way.
The children need to learn proper behavior.";"uygun
  Bu þekilde konuþmak doðru deðil.
Çocuklarýn uygun davranýþý öðrenmeleri gerekir."
"finally came to his senses
a good sense of balance
felt a sense of insecurity
a sense of shame
her sense of humor";"sonunda aklýna geldi
iyi bir denge duygusu
güvensizlik hissetti
utanç duygusu
onun mizah anlayýþý"
"shape of you
bedsheets
with just me
dont mind me
l may be crazy ,dont mind me
lets not talk to much
grab my waist
brand new 
l m in love 
although
backseat";"senin þeklin
çarþaf
sadece benimle
bana aldýrma
Deli olabilirim, beni önemseme
fazla konuþmayalým
belimi tut
yepyeni
aþýðým
olmasýna raðmen
arka koltuk"
"neat
sly
 hare
toad
picture";"düzgün
kurnaz
  tavþan
karakurbaðasý
resim"
"shape of you
bedsheets
with just me
dont mind me
l may be crazy ,dont mind me
lets not talk to much
grab my waist
brand new 
l m in love ";"senin þeklin
çarþaf
sadece benimle
bana aldýrma
Deli olabilirim, beni önemseme
fazla konuþmayalým
belimi tut
yepyeni
aþýðým"
"shape of you
bedsheets
with just me
dont mind me
l may be crazy ,dont mind me
lets not talk to much
grab my waist
brand new ";"senin þeklin
çarþaf
sadece benimle
bana aldýrma
Deli olabilirim, beni önemseme
fazla konuþmayalým
belimi tut
yepyeni"
"shape of you
bedsheets
with just me
dont mind me
l may be crazy ,dont mind me
lets not talk to much";"senin þeklin
çarþaf
sadece benimle
bana aldýrma
Deli olabilirim, beni önemseme
fazla konuþmayalým"
"shape of you
bedsheets
with just me
dont mind me
l may be crazy ,dont mind me";"senin þeklin
çarþaf
sadece benimle
bana aldýrma
Deli olabilirim, beni önemseme"
"shape of you
bedsheets
with just me";"senin þeklin
çarþaf
sadece benimle"
"

AS sly as fox";Tilki kadar sinsi
"resentment 

She 
bore bitter  feelings
 of resentment toward her ex-husband.";"kýzgýnlýk

O
acý duygular beslemek
  eski kocasýna kýzgýnlýk."
rating;deðerlendirme
percentage;yüzde
overwhelming;karþý konulmaz bunaltýcý
Although;olmasýna raðmen
willing;istekli
The bus leaves at 8 pm. Hurry up!;Otobüs saat 8'de kalkýyor. Acele et!
dividing;bölme
well-being;esenlik
Further;Daha ileri
" is the clumsiest person 
clumsiest person ";"en sakar kiþi
en beceriksiz kiþi"
blowing;üfleme
"archery
";okçuluk
"accidentally
";yanlýþlýkla
"clumsy fingers
";beceriksiz parmaklar
"clumsy 
";beceriksiz
"Antonyms 
";Zýt anlamlýlar
"bone
";kemik
indication;gösterge
Mosquitoes;Sivrisinekler
gear;diþli
being in gear;viteste olmak
partly;kýsmen
"hostile 
encounter";"hasým
karþýlaþma"
pledged to be married;evlenme sözü
influence;etkilemek
"conduct an experiment 
conduct a business 
conduct an investigation";"bir deney yapmak
iþ yapmak
soruþturma yürütmek"
lead;öncülük etmek
Synonyms;Eþ anlamlý
indicate;belirtmek
embrace;kucaklamak
per;baþýna
gladly;memnuniyetle
inspire;ilham vermek
to inspire courage;cesaret vermek
encourages;teþvik eder
" wide 
range ";"geniþ
Aralýk"
a wide range of departments;geniþ bir departman yelpazesi
distances;mesafeler
via;üzerinden
contactless;temassýz
obstacle;engel
delivery;teslimat
self-driving;kendi kendine sürüþ
Delivery Robot;Teslimat Robotu
troubled times marked by social disorders;sosyal bozukluklarla iþaretlenmiþ sýkýntýlý zamanlar
marked;iþaretlenmiþ
disorder;bozukluk
to be professionally engaged in;profesyonel olarak meþgul olmak
ethical;ahlaki
This is the official guideline;Bu resmi kýlavuzdur
much of anything;çoðu þey
an act that damages or hurts : WRONG;zarar veren veya inciten eylem: YANLIÞ
injury;yaralanma
"publication 
 broadcast";"yayýn
  yayýn yapmak"
the business of preparing advertisements;reklam hazýrlama iþi
looking for a job in advertising;reklamcýlýkta iþ aramak
episode;bölüm
" preserve
";muhafaza etmek
my target;benim hedefim
presenter;sunucu
damage or destroy computer data;bilgisayar verilerine zarar verme veya yok etme
celebrity;þöhret
recipes;tarifler
election;seçim
US presidential election;ABD baþkanlýk seçimi
I don't know what you're referring to;Ne kastettiðini bilmiyorum
the gift that matters;önemli olan hediye
"A large explosion went off in the desert.
";Çölde büyük bir patlama oldu.
bursting;patlama
explosio;patlama
"staff
";Personel
waking;uyanma
compose;oluþturmak
inspections;denetimler
%;%
Targeting .NET Core allows you to eliminate numerous explicit package references,;.NET Core'u hedeflemek, çok sayýda açýk paket referansýný ortadan kaldýrmanýza olanak tanýr,
explicit;açýk
explicit package;açýk paket
numerous;sayýsýz
you to eliminate;ortadan kaldýrmak için
Remarks;Uyarýlar
exposes;ortaya çýkarýr
maintain.;sürdürmek.
extensively;kapsamlý olarak
sequent;sýralý
operators;operatörler
invocation;çaðrý
so a delegate can refer to any type of object as long as there is a method on that object that matches the delegate signature;Bu nedenle, bir temsilci, bu nesne üzerinde temsilci imzasýyla eþleþen bir yöntem olduðu sürece herhangi bir nesne türüne baþvurabilir
that object that matches;eþleþen nesne
The moment it begins waiting for something — disk, HTTP request, whatever — it is moved away from the CPU.;Bir þey beklemeye baþladýðý an - disk, HTTP isteði, her neyse - CPU'dan uzaklaþtýrýlýr.
What a waste!;Ne gereksiz!
As your app is running instructions, they run serially — one after another. If an instruction is encountered that may potentially block the main thread waiting on some resource, it is started and the ‘wait’ part is put on a separate queue.;"Uygulamanýz talimatlarý çalýþtýrýrken, birbiri ardýna seri olarak çalýþýrlar. Bir kaynakta bekleyen ana iþ parçacýðýný engelleyebilecek bir talimatla karþýlaþýlýrsa, bu komut baþlatýlýr ve ""bekle"" kýsmý ayrý bir kuyruða alýnýr."
As your app is running instructions;Uygulamanýz talimatlarý çalýþtýrdýðý için
event loop;olay döngüsü
consum;tüketim
time-consuming;zaman tükeniyor
prevent;önlemek
Traditional load balancers operate at the transport layer (OSI layer 4 - TCP and UDP) and route traffic based on source IP address and port, to a destination IP address and port.;Geleneksel yük dengeleyicileri, taþýma katmanýnda (OSI katman 4 - TCP ve UDP) çalýþýr ve trafiði kaynak IP adresine ve baðlantý noktasýna göre hedef IP adresine ve baðlantý noktasýna yönlendirir.
load balancer;yük dengeleyici
Azure Application Gateway is a web traffic load balancer that enables you to manage traffic to your web applications;Azure Uygulama Að Geçidi, web uygulamalarýnýza gelen trafiði yönetmenizi saðlayan bir web trafik yük dengeleyicisidir
individuals and interactions;bireyler ve etkileþimler
knowledge workers;bilgi çalýþanlarý
scientific management;bilimsel yönetim
achieve;baþarmak
experience;deneyim
investments;yatýrýmlar
excite;heyecanlandýrmak
We are excited to announce;Duyurmaktan heyecan duyuyoruz
signifies;anlamýna hangi
devoted;sadýk
see you next tuesday;gelecek salý görüþürüz
i'm sorry. it's my bad;üzgünüm. benim hatam
oh my bad;Ah benim hatam
let's hit the road;hadi yola çýkalým
hit the road;yola koyul
she was wasted;boþa gitti
müsait misin;Are you available
apprenticeship;çýraklýk
fuck up;caný cehenneme
she is  dating a geezer;bir moruk ile çýkýyor
GEEZER;moruk
y'all;hepiniz
AIN'T GOT A CLUE;BÝR CLUE OLMADI
on my way;yolumun üzerinde
for sure;kesinlikle
NAH;HAYIR
FAM;dostum
thread;Konu
somewhat;biraz
brightened;aydýnlandý
His countenance had somewhat brightened;Onun münasebeti biraz aydýnlanmýþtý
recollect;Recollect
I can still love life;Hayatý hala sevebilirim
several event tended;birkaç etkinlik yapýldý
several event tended to;several event tended to
several event tended to make the breach wider and wider;birkaç olay ihlali daha geniþ ve daha geniþ yapma eðiliminde
firm;firma
azat waxed more  firm and confident;azat daha saðlam ve kendinden emin
haughty;maðrur
haughty and oppressive;kibirli ve baskýcý
the difficulties between England and American Increased;Ýngiltere ve Amerikan arasýndaki zorluklar arttý
increased;artmýþ
avenge;Öcü
desirous;arzulu
he was even now desirous;þimdi bile istekliydi
insult;hakaret
spread;yaymak
provoking;uyandýran
inhuman;insanlýk dýþý
indeed;aslýnda
it was bloody affair;kanlý bir olaydý
what is meant;ne demek
quite well done;oldukça iyi
they said that they would tear the soldier to pieces;askeri parçalara ayýracaklarýný söylediler
tear;yýrtýlma
assembled;birleþtirilmiþ
Many thousand people assembled;Binlerce insan toplandý
roused;uyandýrmýþtý
five were wounded;beþ kiþi yaralandý
fired;iþten çýkarmak
struck;vurdu
retarded;engelli
hold your horses;atlarýnýzý tutun
cut the comedy;komediyi kes
boomer;boomer
rookie;çaylak
crap;bok
wheels;tekerlekler
bucks;dolar
actual;gerçek
clever;zeki
dessert;tatlý
minus;eksi
punished;cezalandýrýlmýþ
inquire;sormak
citizens;vatandaþlar
six others fired;diðer altý kiþi kovuldu
was struck;vuruldu
insulted;hakaret
beat;dövmek
realized;gerçekleþtirilen
bayonet;süngü
plunging;dalan
as if he were splitting the head of one of  the enemy open;sanki düþmanlardan birinin kafasýný açýk olarak yarýyormuþ gibi
it was observed;gözlemlendi
double Force;çifte kuvvet
observed;gözlenen
hammer;çekiç
these subjects were discussed;bu konular tartýþýldý
these subcest were discussed;bu alt sorgu tartýþýldý
occasionally;bazen
upon;üzerine
cruel;zalim
trampled;ezilmiþ
censured;kýnanmýþ
conduct;yönetmek
retired;emekli
If being born in the east is a crime, the biggest culprit is the sun.;Doðuda doðmak bir suçsa, en büyük suçlu güneþtir.
Southeast;Güneydoðu
minister;bakan
the neighbours would sometimes happen in there of the Winter's evening to spend a hour or two;komþular bazen bir iki saat geçirmek için Kýþ akþamý orada olurlardý.
this will keep them poor and humble;Bu onlarý fakir ve alçakgönüllü tutacaktýr.
become proud;gurur duymak
doubtless;kuþkusuz
doubtless he did;þüphesiz yaptý
he made himself contented;kendini mutlu etti
quite pleasant;Hayli memnun
his employment quite pleasant;onun iþi oldukça hoþ
found his employment quite pleasant;iþini oldukça hoþ buldu
he made himself continent and in a little time;kendini kýta yaptý ve kýsa sürede
tiresome;yorucu
it was tiresome;yorucuydu
it was tiresome to sit all day ,in a confined shop;bütün gün oturmak yorucu, sýnýrlý bir dükkanda
healthful  breeze of the mountain;daðýn saðlýklý esintisi
field;alan
To the active exercise of the field;Alanýn aktif egzersizine
to the active exercise of the field;alanýn aktif egzersizine
he has been used to the playing;o oyuna alýþkýn
At first ,the confinement was irksome;Ýlk baþta, haksýzlýk rahatsýz ediciydi
confinement;kapatýlma
proved;kanýtlanmýþ
Azat proved a good developer;Azat iyi bir geliþtirici olduðunu kanýtladý
Azat proved a good apprentice;Azat iyi bir çýrak olduðunu kanýtladý
awls;býz
yet his heart felt sad;yine de kalbi üzgün hissetti
he always took the lead;her zaman liderliði ele geçirdi
he always took the lead because they wished it;hep önderlik etti çünkü onlar istediler
noble;asil
generous;cömert
admire;beðenmek
playmates;oyun arkadaþlarý
playmates;playmates
courage;cesaret
his playmates admire him for his courage;oyun arkadaþlarý cesareti için ona hayranlar
frightful;korkunç
brink of frightful;korkutucu
fear;fear
without fear;korkusuz
without fatigue;yorulmadan
till now;þimdiye kadar
delightful;hoþ
in this rude,but yet delightful country;bu kaba ama yine de hoþ ülkede
Several large ponds enrich the scenery;Several large ponds enrich the scenery
scenery;manzara
enrich;zenginleþtirmek
two rivers,called the Croton and the Mill river, wind through the place. Several large ponds enrich the scenery;Croton ve Deðirmen nehri adý verilen iki nehir bu bölgeyi sarar. Birkaç büyük gölet manzarayý zenginleþtirir
wind through the place;Yere sarýlmak
fall upon;üzerine düþmek
tumble;takla
deafening;saðýr eden
several cataracts tumble over precipices ,and fall upon the ear with deafening noise;Birkaç katarakt uçurumlarda yuvarlanýr ve saðýr edici bir sesle kulaða düþer
several cataracts tumble over precipices  ,and fall upon;Birkaç katarakt uçurumlarda yuvarlanýyor ve düþüyor
its hills;tepeleri
rough;kaba
wild;vahþi
borders;sýnýrlar
a town which  borders on the state of istanbul;istanbul devleti ile sýnýr komþusu bir kasaba
the rest of family;ailenin geri kalaný
a very just remark;çok adil bir açýklama
it signifies a robber;Bir soyguncuyu ifade eder.
whence were the name azat derived;azat ismi nereden geliyordu
whence were the names whig and tory derived;whig ve tory isimleri nereden geliyordu
whigs;Whigs
enemy;düþman
many Americans were employed to obtain information about the enemy;düþman hakkýnda bilgi almak için birçok Amerikalý
obtain information about the enemy;düþman hakkýnda bilgi edinme
informer;muhbir
I think it it will be more appropriate to say that he was an informer;Bence bir muhbir olduðunu söylemek daha uygun olacak
appropriate;uygun
generally;genellikle
azat generally  so considered;azat genellikle böyle düþünülür
a real spy is generally  so considered;gerçek bir casus genellikle böyle düþünülür
odious character;garip karakter
I thought a spy was an odious character;Bir casusun tuhaf bir karakter olduðunu düþündüm
I thought;düþündüm
worthy;layýk
brave;cesur
worthy to be told;söylemeye deðer
didn't that for me;bunu benim için yapmadý
ý know you doing that for me;bunu benim için yaptýðýný biliyorum
did that for you;bunu senin için yaptým
I suppose not, But he was a brave man, and did that for his country,which is worthy to be told;Sanmýyorum, Ama cesur bir adamdý ve bunu ülkesi için yaptý, söylenmeye deðer
I suppose not, But he was a brave man, and did that for his,which is worthy to be told;Sanmýyorum, Ama cesur bir adamdý ve bunu onun için yaptý, ki söylenmeye deðer
I suppose not;sanmýyorum
such as;gibi
such;böyle
I never heard of such  a man;Hiç böyle bir adamý duymadým
shall you tell us about some battle;bize biraz savaþtan bahseder misin
where you fought;nerede savaþtýn
fought like hero;kahraman gibi savaþtý
you will wish to be a soldier when you become a man;erkek olduðunuzda asker olmak isteyeceksiniz
inch;inç
crept;süzüldü
was overtaken by lightning;yýldýrým düþtü
l will got kicked out;kovulacaðým
ý will get your son;oðlunu alacaðým
it got fixed;düzeltildi
theif got arrested;hýrsýz tutuklandý
commonest;En sýk
it was left over;geride kaldý
screenshot was left over from a previous version of the flow;ekran görüntüsü akýþýn önceki bir sürümünden kaldýrýldý
subsequently;sonradan
made available;hazýr
üst;upper
subsets;alt kümeleri
involving;içeren
initiate;baþlatmak
demonstrated;gösterdi
inspiration;ilham
manipulated;manipüle
One of the most fundamental characteristics of a programming language is the set of data types it supports;Bir programlama dilinin en temel özelliklerinden biri, desteklediði veri türleri kümesidir.
fundamental;temel
traditional;geleneksel
Decision Making and Looping Constructs;Karar Verme ve Döngü Yapýlarý
compiles;derler
command prompt;Komut istemi
Verifying;Doðrulanýyor
Verifying the Installation;Yüklemeyi Doðrulama
The code will display the following output;Kod aþaðýdaki çýktýyý gösterecektir
restrictive fashion;restrictive fashion
fashion;moda
restrictive;kýsýtlayýcý
restrictive fashion;kýsýtlayýcý moda
extensively;yaygýn olarak
programming aids;programlama yardýmcýlarý
varied range;çeþitli aralýk
Dart is an object-oriented language with C-style syntax which can optionally trans compile into JavaScript;Dart, isteðe baðlý olarak JavaScript'e derleyebilen C stili sözdizimine sahip nesne yönelimli bir dildir
compile;derleme
A very commonly;Çok yaygýn
decision-making;karar verme
A conditional/decision-making;Koþullu / karar verme
statements;ifadeleri
classified;sýnýflandýrýlmýþ
evaluates;kendini deðerlendir
loops;döngüler
precision;hassas
fractional;kesirli
flavours;tatlar
represent;temsil etmek
covered;kapalý
draw out;çýkarmak
pouring;dökme
shit;bok
crap;pislik, ývýr zývýr, çerçöp
all right;tamam
tough;zorlu
50 out;50 üzerinden
feet;ayaklar
well lets;iyi olur
sturdy;saðlam
stuck;sýkýþmýþ
otherwise;aksi takdirde
rotten;çürük
season;mevsim
bushcraft;ormanda rahat yaþayabilme hüneri
stew;Güveç
squirrels;sincap
side;yan
cautious;temkinli
slanted;eðimli
firewood;yakacak odun
checkmark;onay iþareti
turd;bok
nuggets;külçeleri
branch;þube
solid;katý
spacemen;uzay adamý
logs;kütükler
pine;çam
cedar;sedir
ridgepole;çatý merteði
thirsty;susuz
bush;çalý
stuff;þey
rib rib;kaburga kaburga
eventually;Sonuçta
sufficient;yeterli
farther;daha uzaða
spot;yer, nokta
shingling;shingling
conifer;kozalaklý aðaç
ton of conifer;kozalaklý aðaç ton
pretty;güzel
sall it;onu sat
sall;sall
evaluate;deðerlendirmek
participation;katýlým
utilize;yararlanmak
mounting;montaj
caused;neden oldu
legacy;miras
considered;düþünülen
avoid;önlemek
emulate;taklit
wrap;sarmak
have well soon;geçmiþ olsun
trade;Ticaret
knock;vurmak
feed;besleme
fear;korku
failure;baþarýsýzlýk
exchange;deðiþ tokuþ
estimate;tahmin
earn;kazanmak
dislike;Beðenmemek
cure;Çare
climb;týrmanýþ
cheat;hile
carry;Taþýmak
care;bakým
exposure;poz
burn;yanmak
borrow;ödünç almak
assist;yardým
advertise;duyurmak
they were not  able to survive after tsunami;tsunami'den sonra hayatta kalamazlardý
intensifiers;þiddetlendirici
sugar;þeker
conjunctions;baðlaçlar
